"ProcessName","ExecutablePath","CreationDate","ProcessId","ParentProcessId","CommandLine","SessionID"
"System",,"2/3/2025 2:26:52 PM","4","0",,"0"
"System Idle Process",,"2/3/2025 2:26:52 PM","0","0",,"0"
"smss.exe",,"2/3/2025 2:26:52 PM","656","4",,"0"
"Memory Compression",,"2/3/2025 2:27:01 PM","3900","4",,"0"
"Secure System",,"2/3/2025 2:26:48 PM","140","4",,"0"
"Registry",,"2/3/2025 2:26:48 PM","184","4",,"0"
"wininit.exe",,"2/3/2025 2:26:59 PM","1044","856",,"0"
"csrss.exe",,"2/3/2025 2:26:58 PM","1020","856",,"0"
"winlogon.exe","C:\WINDOWS\system32\winlogon.exe","2/3/2025 2:27:00 PM","1388","1036","winlogon.exe","1"
"csrss.exe",,"2/3/2025 2:26:59 PM","1052","1036",,"1"
"fontdrvhost.exe","C:\WINDOWS\system32\fontdrvhost.exe","2/3/2025 2:27:00 PM","1300","1044","""fontdrvhost.exe""","0"
"services.exe",,"2/3/2025 2:26:59 PM","1116","1044",,"0"
"lsass.exe",,"2/3/2025 2:26:59 PM","1132","1044",,"0"
"LsaIso.exe",,"2/3/2025 2:26:59 PM","1124","1044",,"0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:13 PM","8544","1116","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS","0"
"AppleMobileDeviceService.exe","C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe","2/3/2025 2:27:13 PM","8568","1116","""C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe""","0"
"FMService64.exe","C:\WINDOWS\System32\FMService64.exe","2/3/2025 2:27:13 PM","8584","1116","C:\WINDOWS\System32\FMService64.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:13 PM","8536","1116","C:\WINDOWS\System32\svchost.exe -k utcsvc -p","0"
"spoolsv.exe","C:\WINDOWS\System32\spoolsv.exe","2/3/2025 2:27:12 PM","8396","1116","C:\WINDOWS\System32\spoolsv.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:13 PM","8464","1116","C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation","0"
"ibtsiva.exe","C:\WINDOWS\System32\ibtsiva.exe","2/3/2025 2:27:13 PM","8712","1116","C:\WINDOWS\System32\ibtsiva","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:13 PM","8604","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s WwanSvc","0"
"SECOMN64.exe","C:\WINDOWS\System32\DriverStore\FileRepository\seapo64.inf_amd64_deaeb20891c6fa3a\SECOMN64.exe","2/3/2025 2:27:13 PM","8784","1116","C:\WINDOWS\System32\DriverStore\FileRepository\seapo64.inf_amd64_deaeb20891c6fa3a\SECOMN64.exe","0"
"RtkAudUService64.exe","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_a42d9de41f05fa49\RtkAudUService64.exe","2/3/2025 2:27:13 PM","8792","1116","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_a42d9de41f05fa49\RtkAudUService64.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:13 PM","8804","1116","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks","0"
"RstMwService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iaahcic.inf_amd64_99f6bd58bfe82726\RstMwService.exe","2/3/2025 2:27:13 PM","8688","1116","C:\WINDOWS\System32\DriverStore\FileRepository\iaahcic.inf_amd64_99f6bd58bfe82726\RstMwService.exe","0"
"OneApp.IGCC.WinService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_98ad395a329efc54\OneApp.IGCC.WinService.exe","2/3/2025 2:27:13 PM","8612","1116","C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_98ad395a329efc54\OneApp.IGCC.WinService.exe","0"
"MpDefenderCoreService.exe",,"2/3/2025 2:27:13 PM","8656","1116",,"0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:13 PM","8676","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s SstpSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:12 PM","8316","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"svchost.exe",,"2/3/2025 6:42:44 PM","8092","1116",,"0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:08 PM","6224","1116","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService","1"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:09 PM","7332","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:08 PM","6516","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s TokenBroker","0"
"HPAudioAnalytics.exe","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\HPAudioAnalytics.exe","2/3/2025 2:27:07 PM","6928","1116","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\HPAudioAnalytics.exe","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:03 PM","5800","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s LanmanServer","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:08 PM","6336","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc","1"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:08 PM","3592","1116","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc","1"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:12 PM","7652","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 6:13:58 PM","16724","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SensorService","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:12 PM","3680","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:12 PM","3128","1116","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p -s iphlpsvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 6:42:44 PM","100","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wuauserv","0"
"PresentationFontCache.exe","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","2/3/2025 2:27:11 PM","7816","1116","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:11 PM","8012","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s ShellHWDetection","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 6:14:59 PM","18324","1116","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:24 PM","12584","1116","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:20 PM","11460","1116","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc","1"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:25 PM","13208","1116","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"SearchIndexer.exe","C:\WINDOWS\system32\SearchIndexer.exe","2/3/2025 2:27:25 PM","12700","1116","C:\WINDOWS\system32\SearchIndexer.exe /Embedding","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:22 PM","4628","1116","C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p -s InventorySvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:18 PM","10500","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc","0"
"svchost.exe",,"2/3/2025 2:27:19 PM","11168","1116",,"0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:22 PM","10012","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s lfsvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:28:01 PM","14784","1116","C:\WINDOWS\system32\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:28:03 PM","15224","1116","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV","0"
"NisSrv.exe",,"2/3/2025 2:27:40 PM","5028","1116",,"0"
"SecurityHealthService.exe",,"2/3/2025 2:28:00 PM","14652","1116",,"0"
"AWCC.Service.exe","C:\Program Files\Alienware\Alienware Command Center\AWCC.Service.exe","2/3/2025 2:29:16 PM","8708","1116","""C:\Program Files\Alienware\Alienware Command Center\AWCC.Service.exe""","0"
"ServiceShell.exe","C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe","2/3/2025 2:29:16 PM","8008","1116","""C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe""","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:28:40 PM","9528","1116","C:\WINDOWS\System32\svchost.exe -k LocalService -p -s LicenseManager","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:08 PM","14576","1116","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","1"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:18 PM","11260","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Appinfo","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:13 PM","9228","1116","C:\WINDOWS\system32\svchost.exe -k osprivacy -p -s camsvc","0"
"wslservice.exe","C:\Program Files\WSL\wslservice.exe","2/3/2025 2:27:13 PM","9152","1116","""C:\Program Files\WSL\wslservice.exe""","0"
"LanWlanWwanSwitchingServiceUWP.exe","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\LanWlanWwanSwitchingServiceUWP.exe","2/3/2025 2:27:13 PM","9396","1116","C:\WINDOWS\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\LanWlanWwanSwitchingServiceUWP.exe","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:13 PM","9332","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:13 PM","8920","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s WpnService","0"
"MsMpEng.exe",,"2/3/2025 2:27:13 PM","8872","1116",,"0"
"TeraCopyService.exe","C:\Program Files\TeraCopy\TeraCopyService.exe","2/3/2025 2:27:13 PM","9048","1116","""C:\Program Files\TeraCopy\TeraCopyService.exe""","0"
"XtuService.exe","C:\WINDOWS\SysWOW64\XtuService.exe","2/3/2025 2:27:13 PM","8940","1116","C:\WINDOWS\SysWOW64\XtuService.exe","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:23 PM","1604","1116","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UsoSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:29:23 PM","7028","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -s W32Time","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:18 PM","11204","1116","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc","1"
"DiagsCap.exe","C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_a58ce5a91133675e\x64\DiagsCap.exe","2/3/2025 2:27:17 PM","11084","1116","C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_a58ce5a91133675e\x64\DiagsCap.exe","0"
"esif_uf.exe","C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe","2/3/2025 2:27:14 PM","9944","1116","""C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe""","0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:27:13 PM","9480","1116","C:\WINDOWS\System32\svchost.exe -k LocalService -p -s WdiServiceHost","0"
"svchost.exe",,"2/3/2025 2:29:23 PM","1904","1116",,"0"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","2/3/2025 2:31:56 PM","11672","1116","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2408","1116","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc","0"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2/3/2025 2:27:01 PM","2388","1116","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi","0"
