"Proc_Path","Proc_Hash"
"C:\WINDOWS\system32\winlogon.exe","15413BDC319FB4D3DA2A12F7C4F7517C51A340D6DCB99ABDE20ECD51E5764693"
"C:\WINDOWS\system32\svchost.exe","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"C:\WINDOWS\system32\fontdrvhost.exe","AFAD1E3D6D57770C2CD29A00DF6315B002F2684DF36FCCCDFFEE52DB763CD29D"
"C:\WINDOWS\System32\svchost.exe","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"C:\WINDOWS\system32\dwm.exe","D38FF088C76BBF67B72CA00D425CFC995C7313FE48342E7E5CF6E798ABD425BD"
"C:\Windows\System32\WUDFHost.exe","AA2F373F6CB67BFD57C4593AD8E24812408DA9F6BBE811F003C3D1E577C1DF80"
"C:\WINDOWS\system32\vmms.exe","CF16E39B0BFD41ED0205BF24FEB60B9FFCBAEFAFBAC09CF57749B9F29FD9BAC6"
"C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispig.inf_amd64_0afec3f2050014a0\Display.NvContainer\NVDisplay.Container.exe","5CEA1A87DDB7FC538229BF55DD64510DA06B3A4A964136147359CD6750E6B689"
"C:\Program Files (x86)\Cisco\Cisco Secure Client\vpnagent.exe","2A20046DC84FC6D3D75D2E9C8AD761175739CB2E0D372CF22172C86F109620B4"
"C:\WINDOWS\System32\spoolsv.exe","01399AF8B94B60494798BA63D7F23CD2B84F4D0AD98126ACB29C8DFC39FBC499"
"C:\Program Files\ADF Solutions Inc\ADF Digital Evidence Investigator\adfsvc.exe","F1321DD842CEF080E2762791E3DC1E318442D1C2C0E057B049F38393AA27C50E"
"C:\Program Files\Bonjour\mDNSResponder.exe","E399C390687589194D8AAD385055F0CFA7D52AD9E837D8FF95008B8EB2B34E50"
"C:\Program Files\Common Files\Apple\Mobile Device Support\AppleMobileDeviceService.exe","60F07CFBC42B92E14104EA17FF408506C3C29FA7A529D6CC7B352006B3805A94"
"C:\Program Files\Cellebrite Mobile Synchronization\UFED Private Cloud\nssm.exe","EEE9C44C29C2BE011F1F1E43BB8C3FCA888CB81053022EC5A0060035DE16D848"
"C:\Program Files\Cellebrite Mobile Synchronization\AnalyticsEnginesUltra\cellebrite_ultra_iman.exe","812948E2F3051D70B1DD3019564107F933153441599E4CAD289FC47361A42008"
"C:\WINDOWS\system32\BtwRSupportService.exe","2563666842008E202B6A64435F06169A259D6DC56D16AF7359114C20A4FA4400"
"C:\Program Files\Cellebrite Mobile Synchronization\AnalyticsEnginesUltra\external_dependencies\openvino\cellebrite_ultra_openvino.exe","812948E2F3051D70B1DD3019564107F933153441599E4CAD289FC47361A42008"
"C:\Program Files (x86)\Intel\Driver and Support Assistant\DSAService.exe","4A2C183F385DDC313F51D57589354D4044737C11C6F27CC2EDA670C459A2AC5E"
"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","11F5838696C69AF66797971991855A5A4EC9C777B82861D2CF35F66EEBF8A649"
"C:\Program Files (x86)\Drobo\Drobo Dashboard\DDService.exe","4021205D36BF3AB71F1C8FCA0A4093F445B29DF14A51F52C04F7155BD67EAB68"
"C:\Program Files\Everything\Everything.exe","35CEFE4BC4A98AD73DDA4444C700AAC9F749EFDE8F9DE6A643A57A5B605BD4E7"
"C:\Program Files (x86)\Intel\Driver and Support Assistant\DSAUpdateService.exe","4E1556F46FE7B9B9E01D0E5F92430B93FDA27B908D33A2B339362B72B5EDF904"
"C:\WINDOWS\twain_32\Fjicube\FJTWSVIC.exe","B80FF004BF49E605F82E1623A492E852D5DD245FC9678D779675EB14FD24B353"
"C:\Program Files\Intel\Intel Arc Control\ArcControlService.exe","8D4760FBEDA815D450B0932A4E174A84687ECDC3DEF6E245634597341A298A75"
"C:\Program Files (x86)\Samsung\Samsung Magician\MigrationService\MigrationService.exe","B9BFDA882E14EFA38CE4BBA085519109966D63742D695E79307EF367C573F011"
"C:\ProgramData\TileServer\nssm_64.exe","4682A3208F4236E3E13EAB72B6F3067A66B34EF376D4749EA5EEA547C7BA0173"
"C:\Program Files (x86)\Samsung\Samsung Magician\SamsungMagicianSVC.exe","A0E0785F093E938646E0AA9C6743856F125C09DFEF1CB9A27A05149C1D35312D"
"C:\Program Files\TeraCopy\TeraCopyService.exe","44F9500E24722730A9D2FA271051DE46BD1C0A5AA1971C5FC2A01942E348609A"
"C:\Program Files\PostgreSQL\bin\pg_ctl.exe","FE218D1B930B9075E93BC433F0E7F8BFC37171D8ACB7F05285C76D42B16443DC"
"C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_af50fdb80983f7bc\jhi_service.exe","4E30D1ED6BBD6C385A665D347342B72F84877589FE63D32268A68BDA61CE55D4"
"C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGMService.exe","70B683B69C79A4479347DE80E990BABA6DF442242BB86AA30A941136D5736177"
"C:\Program Files\SEH Computertechnik GmbH\SEH UTN Manager\utnservice.exe","463FA006BB0A8B5BB5730EF4ECEC1EB1E64E851D279F95F51E2B6764CDA715C9"
"C:\Program Files\LGHUB\lghub_updater.exe","B6C5B45A32FDD55B0E851DAA0ECA1E2365706E6EBD45B0F9BC0EFB00DC8F4965"
"C:\WINDOWS\System32\DriverStore\FileRepository\logi_lamparray_usb.inf_amd64_3786a31d1dad269d\logi_lamparray_service.exe","94EA9598061C21ABBFF9C3DE844E44E8B794884FDAA6E61BFDCE351D640F90A4"
"C:\Program Files\SAMSUNG\USB Drivers\25_escape\conn\ss_conn_service.exe","5E4599E682327E3B8097A88A69ED73F96254A29054744D5DFB782054863F131E"
"C:\Program Files\Cellebrite Mobile Synchronization\Ultra Physical Analyzer\hashDbService\PAoDb-hashDbService.exe","FC24CFCD37411F88BF51427AAABA49F1468735F368FB938F70DCAF5490C5D112"
"C:\WINDOWS\System32\DriverStore\FileRepository\iastorvd.inf_amd64_74e28d819fb21cc3\RstMwService.exe","040D2971D96DFA9B34A05F8A08EDB9411A6E7451B2DC685C8D70A2773894761E"
"C:\Program Files\Intel\SUR\QUEENCREEK\SurSvc.exe","AB946753EEDD7C5483F4FCF43E88E6814A3A12E53721B95127B2DEE041CF6EB0"
"C:\Program Files (x86)\Synology\Assistant\UsbClientService.exe","F5CA6CCC3880204C25F7D83426927B13A6B0E787E1B8EF3DD3EAC51B9B617483"
"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe","9E5F3D3C79EC36931AB9B7D8DAE38BB765367701BF24410E7C4B949721FA4409"
"C:\Program Files (x86)\Common Files\Aladdin Shared\HASP\hasplms.exe","140AF5412A56644613135E0D859D5EAECF2412C02377BA7C8587EB905445F886"
"C:\Program Files\Magnet Forensics\Hash Sets Manager\storage\bin\mongod.exe","C0F87E6CAC3FE794D4AF73A5E168A6A888524AC85DC0A5CDCF4E76B4813194C6"
"C:\WINDOWS\system32\mqsvc.exe","48BF8042FCAFA0192958BF200A500985857C0AACAEB6D6EFDEA13F5BB952A0A9"
"C:\Program Files\Cellebrite Mobile Synchronization\AnalyticsEnginesUltra\Utils\OpenJDK\jdk-13.0.2\bin\java.exe","018DF0306A065B95B834ABE50D865A627722D4BCDC6C7DAB05D7B9875452505A"
"C:\Program Files\Cellebrite Mobile Synchronization\AnalyticsEnginesUltra\external_dependencies\openvino\server.exe","685AC4CEFE88C8AE747D5AE61A4269B58F6A1A39317B15A04E39797F4898447B"
"C:\Program Files\nodejs\node.exe","7447C4ECE014AA41FB2FF866C993C708E5A8213A00913CC2AC5049EA3FFC230D"
"C:\WINDOWS\system32\conhost.exe","2BF11711D405A2019D5F58046A954FCCF62A2F90BCF1AB2D77BC78E1690F2AA3"
"C:\WINDOWS\system32\WLANExt.exe","144CBC2B94F15823AF59C59ADF4274CEBC94F5247491E2377C8388B02508B231"
"C:\WINDOWS\system32\wbem\wmiprvse.exe","E21C99605576FF7F6D3482F240615A11AB827D9610574D21C747A0A7D3D6A3C5"
"C:\WINDOWS\system32\wbem\unsecapp.exe","11A9C2A7263E062CD0C9DA5BE95DE3F18FF5C787C588F3937A985321B2DB918E"
"C:\Program Files\Cellebrite Mobile Synchronization\UFED Private Cloud\UFEDCloud.WebApi.exe","8D2D40CE28443C0BB2E3E99BC6A6CD565D0298BCE9E7BAEB202D39E1464E189D"
"C:\Program Files\PostgreSQL\bin\postgres.exe","7A0F2DABDA83071C985615C3451FE7F6351D296F1C48B75CFA609E6175A54308"
"C:\WINDOWS\System32\AggregatorHost.exe","64AA037F7033A7B9701BDDC8FA2F0AA34765D354EAEC413719A3EEB466CFD703"
"C:\Program Files (x86)\Common Files\Aladdin Shared\HASP\hasplmv.exe","90BF378A64E1B35A5956BA815C63298BA97A509AEB3D7599F3306FCA1271155F"
"C:\Program Files\Magnet Forensics\Hash Sets Manager\server\Magnet.HashSets.Manager.exe","9FCD4CB679F9A95D2EFEE82469424F65946234F12EC6273217004F9BDCE36973"
"C:\WINDOWS\system32\dashost.exe","E371768265765735FA476F8EC496BF5351520BD9667BB1C7E8FADA54CC17620B"
"C:\WINDOWS\System32\DriverStore\FileRepository\mewmiprov.inf_amd64_d51901c26227fb29\WMIRegistrationService.exe","3009FD5E73F701581D4C48C544378BA5E58115751224D0763CBB302D3E604763"
"C:\Program Files\WSL\wslservice.exe","B63443A8DB7B3DB1B0439238A395DADF4D66B8C06A0A0457BD759D9D06946A25"
"C:\WINDOWS\system32\vmcompute.exe","7D89BA86B545FC45C51C39630101FD758D0FEB5BF3B7F0D107BCF171453AA246"
"C:\WINDOWS\system32\sihost.exe","DE14D56A139FD4D02D4586728B7978B67C865013271916FA1E4DABA2918B1FBE"
"C:\Program Files (x86)\Intel\Driver and Support Assistant\DSATray.exe","763A0B4F5C98934785A8655D2BCC6B4E258E2E4FC6905AC2AA5BC6D175620F6E"
"C:\WINDOWS\Explorer.EXE","B121D7F22BA12FD42E3663DE08305654C289F64C7DAEAD4A0047B7D88E366346"
"C:\WINDOWS\system32\taskhostw.exe","2FB8393C7824CC79C268146CB803054B64661333CF3C914F12CE5FF94C613636"
"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","C5B64696F44EC12F0F9A121D35EAFE2BF199028A34BF4D913506311F47C948EF"
"C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","174099CF756573C419AB8BB8090D395CE5FB53327B72166D638D0670A7E7F489"
"C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_524.34401.20.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","A651AEAF80A50B9753A3CFFAA8ABA274B95E9A2365F13CBC8A7F00FF03DBA87B"
"C:\Windows\System32\RuntimeBroker.exe","FF05FAFEA7DB48A7AE5DC72F8880D326EBF9B9CCBE881820F327DC98EADB84F0"
"C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.1.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe","26A5CE7422A2F9A2D158D5050F9630D546C1E274B544E9285672D4F1F5CA4913"
"C:\WINDOWS\system32\DllHost.exe","50C9C2EDEA6C51F1AAD2DD80A59F4EDB32637F51714F8472D216E5B9BDACDABF"
"C:\Windows\System32\SecurityHealthSystray.exe","7E1747256C74F48D153B7F95A53151CA6988BB210CFEC60EB05921F5DA94FC0E"
"C:\Program Files\PowerToys\PowerToys.exe","E77862B027571E2AF0F7B0F97F720C14B2CC5DEAD135C24BC826B45EE94FF169"
"C:\Program Files\PowerToys\WinUI3Apps\PowerToys.AdvancedPaste.exe","15D89037FE1F7D1E2CC602ADA0101B0042AAE91CB5C9BEC4978449A9C08A98AF"
"C:\Program Files\Greenshot\Greenshot.exe","FDC3900DA9CF5B4B7F4B461EB54F2F7ABF2AF104DE8BFDD0B7F6A46F092F9CC6"
"C:\Program Files\PowerToys\PowerToys.AlwaysOnTop.exe","413748EF7D6219732B447BAF513F614848C576063C56981ADDDC96E674939E12"
"C:\Program Files\PowerToys\PowerToys.Awake.exe","A9BD92316604E752D7AA62357BA2AC43F12AE3A631C869EF20F7C99EF341AC86"
"C:\Program Files\PowerToys\PowerToys.CropAndLock.exe","E210DE504B47A3BA41E400FF9DD37FA7FDD05BE2D03043340F054E9C05CF03BC"
"C:\Program Files\PowerToys\PowerToys.FancyZones.exe","49597AF7C7FAA4B997861AD7F74FEB4800563EECC1984441263F52C34B1E23A0"
"C:\Program Files\PowerToys\WinUI3Apps\PowerToys.Peek.UI.exe","D4A639BC0C8AF215B53C10A3F121C8E27C03A049A8397B069790EB48F7CE9422"
"C:\Program Files\PowerToys\PowerToys.PowerLauncher.exe","4EF6BC2B57723B4D3B080D740D3BAEBEC494033532E3AAB33C058902071B5665"
"C:\Program Files\PowerToys\PowerToys.PowerOCR.exe","DFEF9EFDD3FB109DDD0F008EB7094F1CFB42D8FCE4078640C4CE6A7C057E3357"
"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","41DCF1E75493BE2E871DEEB1941B6882F528309D65B40FBF3A4313E300A69C05"
"C:\Windows\twain_32\fjscan32\SOP\FtLnSOP.exe","01E9A32736963AE57C7C8943B5592176A7DACA614DDB012E87A9FBAE3C79997B"
"C:\Windows\twain_32\Fjicube\FJTWMKIC.exe","A5006F4B5DBF752B86F52652D7BA62842E1B130AF9ECC5E10E50B63102B2D100"
"C:\Program Files\LGHUB\system_tray\lghub_system_tray.exe","7D75FD4AF2118CD3CD0E092A555E85277F6984B4FA0D27BC3DFB51E349708D8B"
"C:\Program Files\LGHUB\lghub_agent.exe","DDFB54DA36F04E3C3C298550C25D180C5A950C6C80BB40BAAA26EB53C8C57B74"
"C:\Program Files (x86)\Adobe\Acrobat 11.0\Acrobat\acrotray.exe","BAE9C21AD12E4C7BB00AF85F2688201941B4DDECE9D955F5C9F767AEEDC7A62A"
"C:\Program Files (x86)\GnuPG\bin\keyboxd.exe","325C9CA0DC7F5C80844EE7E09635ACE2285A20FF7792772DAAEC59109469E3E4"
"C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv.exe","1CD40B295EBCF48A47AB0FA9AE70B431B53C66C9B9BBF2F3B8A192BF2C81E319"
"C:\WINDOWS\system32\ApplicationFrameHost.exe","99F92E7138AB340C67555089AF2A4427630779DEADD81A6884B6771FA610D6FA"
"C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","6365D6B59C89BAAEC6092F79446A24D45F83D5FFF86D53C98B37780A0A79333C"
"C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy\AccountsControlHost.exe","682BF4BF7242BE23D9645C6EA8C0C6457894975B37F696CD7B9ADBCD989D98B4"
"C:\Program Files (x86)\GnuPG\bin\dirmngr.exe","2D2DF0BFD1C01DA99195A9798BBA1B44BDE8EAECDBD20B69C8A2A9BFC4CD340A"
"C:\WINDOWS\explorer.exe","B121D7F22BA12FD42E3663DE08305654C289F64C7DAEAD4A0047B7D88E366346"
"C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Microsoft.AAD.BrokerPlugin.exe","32CC47ADD845317CEBBF38AC1CED716C354CE96A5E73EA3B8F462ECC63C1031A"
"C:\Windows\System32\smartscreen.exe","2F3B4F0B120E10CAF05AE37AB8918EE9338CBC38C3B5EEB1B887643BCC6B9552"
"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","DB92ABB7C830BD92C502D7DCB04884E0706E40C047A9E04648F2E3910F126B28"
"C:\WINDOWS\system32\SearchIndexer.exe","9741A6FF4E4FD5D36FCCB1ACF5CBA5850B1D3DFFCA7AFC1B97345B70587EECE7"
"C:\Program Files (x86)\Google\Chrome Remote Desktop\133.0.6943.7\remoting_host.exe","E7F207EE6B8B5683DD27580863E80017C2082E3C66BF75B4582BDB2359C0D9C8"
"C:\WINDOWS\system32\ctfmon.exe","17716BE160B9B7C844F4EF570E0C174CB0F04A5A4A2930B0391C0A7FBFB7352F"
"C:\Windows\System32\ShellHost.exe","5AED6E23C6A8160B9EAC8E927B7E7FCD963390324732E1F80D98E29EDA0D827C"
"C:\Program Files\Microsoft OneDrive\OneDrive.exe","CF724B512DA14962526B791A7DBF0F5946BE1991F865A3329605A382D7BF20F1"
"C:\Program Files\Microsoft OneDrive\25.004.0109.0002\Microsoft.SharePoint.exe","56C2922BACC404091F29A80F8994A71E3F4C7AB54172D51B6C37CE2926229559"
"C:\Program Files\Microsoft OneDrive\25.004.0109.0002\FileSyncHelper.exe","9D763007FD92AF4135CCEC811922E8B80ED5D54DBD02847C88A3A4DB6A04AA9D"
"C:\Program Files\Microsoft OneDrive\25.004.0109.0002\FileCoAuth.exe","F4E689CB3A578D52D3855FB89A92C7FA0441ABB4423EF73235DBF67E9BE3B278"
"C:\Windows\ImmersiveControlPanel\SystemSettings.exe","4DA19D35F32B82F04D88107F10727F7ADC81259603159D0ADDE620610E5DAF3D"
"C:\Program Files\Intel\SUR\QUEENCREEK\Updater\bin\IntelSoftwareAssetManagerService.exe","CF58D72F1093450EF927961F1FC3EE8D7797912AF23F8E8383AEDC3F15C47EB7"
"C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE","3D6DCE45AEA42A6AB6F6A269A65CB1B42309AF0393CC9821EB91BF0CABDE925F"
"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\132.0.2957.127\msedgewebview2.exe","CD484193B48D0F9DA6662B42936A8D872DB14906ECBBA5FBA46E036DFA9F570A"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Office16\ai.exe","CC037825B5741307C5E9C64BA4D905AE35E0FFF54DDA71DAF55EDAAFF093C0C4"
"C:\Users\mikes\AppData\Local\Programs\Microsoft VS Code\Code.exe","9F0AA5148E217D4CA6FAB84DC4CAF4B9339D74003F8BC36F394EFBE50425E298"
"\\?\C:\WINDOWS\system32\conhost.exe","2BF11711D405A2019D5F58046A954FCCF62A2F90BCF1AB2D77BC78E1690F2AA3"
"C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","D3B4B97C2BF97D70E5655FF4C4CA1D8CEF9DED51685CFD764247CFDA98EE68DF"
"C:\Program Files\Google\Chrome\Application\chrome.exe","66E3CAEEF96BE99679F47623397B1D29B588EA413C5B3ECDBABA7989F56A66F3"
"C:\Users\mikes\AppData\Local\Programs\Notion\Notion.exe","2C64AFDC3F5C0F3FC1F895B7E967B6CF7CB5C17ED2AEFD9EF070EDA2A35FA357"
"C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.3231.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","120AD28B885DB437003851E4C3AC0E43A048CFAAF5565425416FFB403A4B1524"
"C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.3231.0_x64__8wekyb3d8bbwe\OpenConsole.exe","60D1A1D83333701DD47095720C9B0295FA2D1A63FB489048973F58C6E43CB5BD"
"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","D3B4B97C2BF97D70E5655FF4C4CA1D8CEF9DED51685CFD764247CFDA98EE68DF"
"C:\Windows\System32\DataExchangeHost.exe","8E7D16C8852059BC2859CCF58E56CEAD5F440E27F50C8969F52F8D4127025EE8"
"C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv_svc.exe","216AB79C788BC5874CE48C326AACADEE1D51FBF02106D34338CC2530C3BBD804"
"C:\Program Files\Notepad++\notepad++.exe","30C48739DA41A92774163BF96437292331F44B0D4BC8C689E842ADFBFC1DDF5D"
"C:\Program Files\TeraCopy\TeraCopy.exe","4F4E3C5D265C7350D56638BE72413E62A0D48A94411DA68836DD630E1E61391C"
"C:\WINDOWS\system32\AUDIODG.EXE","35E5EB745E433C062FEF4294023AC119D75A413C754A2E354CE58701D363E048"
